area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,area_type_encoded
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Goeur G,1925,3.0,3.0,110.0,3.0,1925.0,5714.285714285715,3
Built-up  Area,Ready To Move,Kengeri,1 BHK,Unknown,502,1.0,1.0,25.0,1.0,502.0,4980.0796812749,0
Built-up  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,3339,3.0,0.0,250.0,3.0,3339.0,7487.271638215035,0
Built-up  Area,Ready To Move,Begur,3 BHK,Arhtsth,1475,2.0,2.0,74.0,3.0,1475.0,5016.949152542373,0
Super built-up  Area,18-Aug,Indra Nagar,3 BHK,Unknown,1550,3.0,2.0,258.0,3.0,1550.0,16645.16129032258,3
Super built-up  Area,18-Apr,Peenya,2 BHK,Unknown,966,2.0,1.0,49.0,2.0,966.0,5072.463768115942,3
Plot  Area,Ready To Move,t.c palya,6 Bedroom,Unknown,1350,6.0,3.0,160.0,6.0,1350.0,11851.851851851852,2
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,75.0,2.0,1300.0,5769.2307692307695,3
Plot  Area,Ready To Move,Bagalur Main Road,5 Bedroom,Unknown,4400,4.0,1.0,350.0,5.0,4400.0,7954.545454545455,2
Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1559,3.0,2.0,120.0,3.0,1559.0,7697.2418216805645,3
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Unknown,1246,2.0,1.0,63.0,2.0,1246.0,5056.179775280899,3
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,53.58,3.0,1410.0,3800.0,3
Plot  Area,Ready To Move,Varthur Road,4 Bedroom,Unknown,1300,3.0,0.0,75.0,4.0,1300.0,5769.2307692307695,2
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,58.0,2.0,1339.0,4331.59073935773,3
Plot  Area,Ready To Move,Ilyas Nagar,4 Bedroom,Unknown,900,4.0,1.0,75.0,4.0,900.0,8333.333333333334,2
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1104,2.0,1.0,35.5,2.0,1104.0,3215.5797101449275,3
Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,Unknown,900,2.0,2.0,45.0,2.0,900.0,5000.0,0
Built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,Shestth,1550,2.0,2.0,79.0,3.0,1550.0,5096.774193548387,0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,GolusLi,670,1.0,1.0,35.0,1.0,670.0,5223.880597014925,3
Super built-up  Area,19-Dec,Jakkur,2 BHK,Ceezey ,1483,2.0,1.0,98.0,2.0,1483.0,6608.226567768038,3
Super built-up  Area,Ready To Move,Basapura,3 BHK,Saavenc,1540,2.0,2.0,70.0,3.0,1540.0,4545.454545454545,3
Plot  Area,Ready To Move,Naganathapura,8 Bedroom,Unknown,1200,7.0,3.0,100.0,8.0,1200.0,8333.333333333334,2
Super built-up  Area,Ready To Move,Hennur,2 BHK,Unknown,1255,2.0,1.0,54.5,2.0,1255.0,4342.629482071713,3
Plot  Area,Ready To Move,OMBR Layout,3 Bedroom,Unknown,600,3.0,2.0,100.0,3.0,600.0,16666.666666666668,2
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Unknown,1036,2.0,2.0,110.0,2.0,1036.0,10617.760617760618,3
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2.0,2.0,75.0,3.0,1460.0,5136.986301369863,3
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,Wiaysld,1230,2.0,1.0,58.0,2.0,1230.0,4715.447154471544,3
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1340,2.0,2.0,60.0,2.0,1340.0,4477.611940298508,0
Built-up  Area,Ready To Move,Yelenahalli,3 BHK,Unknown,1600,3.0,3.0,61.37,3.0,1600.0,3835.625,0
Built-up  Area,18-Apr,Hegde Nagar,3 BHK,SoisoCa,2162,3.0,1.0,200.0,3.0,2162.0,9250.693802035152,0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2.0,2.0,40.0,2.0,919.0,4352.557127312296,3
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,Unknown,1070,2.0,2.0,38.9,2.0,1070.0,3635.5140186915887,3
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,UmrldDr,1733,2.0,3.0,85.0,3.0,1733.0,4904.789382573572,3
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3.0,3.0,72.0,3.0,1221.0,5896.805896805897,3
Super built-up  Area,Ready To Move,kanakapura main road,2 BHK,Unknown,1041,2.0,1.0,36.44,2.0,1041.0,3500.480307396734,3
Built-up  Area,Ready To Move,Ambalipura,4 BHK,SJodsed,2550,4.0,2.0,149.0,4.0,2550.0,5843.137254901961,0
Built-up  Area,Ready To Move,Shampura,3 BHK,Unknown,1400,3.0,1.0,70.0,3.0,1400.0,5000.0,0
Plot  Area,Ready To Move,Anjanapura,1 Bedroom,Unknown,600,2.0,0.0,55.0,1.0,600.0,9166.666666666666,2
Built-up  Area,Ready To Move,Nagarbhavi,1 BHK,MaentNa,710,2.0,2.0,40.0,1.0,710.0,5633.802816901409,0
Super built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2.0,1.0,78.25,3.0,1500.0,5216.666666666667,3
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,237.0,4.0,3122.0,7591.287636130685,3
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3.0,3.0,175.0,3.0,2061.0,8491.02377486657,3
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,95.0,3.0,1255.0,7569.721115537848,3
Super built-up  Area,Ready To Move,Malleshwaram,7 BHK,Unknown,2425,7.0,3.0,140.0,7.0,2425.0,5773.19587628866,3
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,55.0,2.0,1031.0,5334.62657613967,3
Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1210,2.0,1.0,74.0,2.0,1210.0,6115.702479338843,3
Super built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950,2.0,1.0,40.0,2.0,950.0,4210.526315789473,3
Plot  Area,Ready To Move,Nagaraja Garden,4 Bedroom,Unknown,1376,4.0,1.0,156.0,4.0,1376.0,11337.209302325582,2
Super built-up  Area,18-Dec,Hosa Road,2 BHK,Mahesr ,1161,2.0,1.0,55.15,2.0,1161.0,4750.215331610681,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2.0,2.0,44.17,2.0,1303.0,3389.869531849578,3
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,105.0,2.0,1418.0,7404.795486600846,3
Plot  Area,Ready To Move,Kengeri Satellite Town,2 Bedroom,Unknown,1200,2.0,1.0,65.0,2.0,1200.0,5416.666666666667,2
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Unknown,1825,3.0,2.0,175.0,3.0,1825.0,9589.04109589041,3
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Bhhmi L,1015,2.0,0.0,48.0,2.0,1015.0,4729.064039408867,0
Carpet  Area,Ready To Move,Mathikere,3 BHK,Unknown,1150,2.0,0.0,60.0,3.0,1150.0,5217.391304347826,1
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2.0,1.0,40.0,2.0,1010.0,3960.3960396039606,3
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,Sariana,1508,3.0,1.0,75.0,3.0,1508.0,4973.474801061008,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1275,2.0,1.0,87.0,2.0,1275.0,6823.529411764706,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,1460,3.0,1.0,70.0,3.0,1460.0,4794.520547945205,0
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Unknown,946,2.0,2.0,58.0,2.0,946.0,6131.0782241014795,3
Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Alows M,1110,2.0,2.0,58.0,2.0,1110.0,5225.225225225226,3
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,125.0,3.0,1832.0,6823.144104803493,3
Super built-up  Area,18-Apr,Hebbal,2 BHK,Arcia S,1088,2.0,2.0,61.45,2.0,1088.0,5647.97794117647,3
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,104.0,3.0,1564.0,6649.616368286445,3
Super built-up  Area,18-Jan,Kadugodi,2 BHK,Prclee ,1030,2.0,1.0,35.02,2.0,1030.0,3400.0000000000005,3
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,Unknown,660,2.0,0.0,27.0,2.0,660.0,4090.909090909091,3
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Asncywo,1700,3.0,1.0,95.0,3.0,1700.0,5588.235294117647,3
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,Unknown,1100,5.0,2.0,121.0,4.0,1100.0,11000.0,2
Super built-up  Area,18-Feb,Panathur,2 BHK,Unknown,1205,2.0,2.0,62.9,2.0,1205.0,5219.9170124481325,3
Super built-up  Area,Ready To Move,Lottegolla Halli,3 BHK,Unknown,1950,3.0,2.0,90.0,3.0,1950.0,4615.384615384615,3
Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,Unknown,1080,2.0,1.0,62.0,2.0,1080.0,5740.740740740741,3
Built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,2800,4.0,2.0,140.0,4.0,2800.0,5000.0,0
Super built-up  Area,19-Jan,Mailasandra,2 BHK,Hanar I,999,2.0,1.0,43.66,2.0,999.0,4370.37037037037,3
Plot  Area,Ready To Move,Basvasamithi Layout Vidyaranyapura,4 Bedroom,Unknown,900,4.0,3.0,175.0,4.0,900.0,19444.444444444445,2
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1300,2.0,1.0,89.76,2.0,1300.0,6904.615384615385,3
Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,Srayatr,1265,2.0,1.0,78.0,2.0,1265.0,6166.00790513834,3
Built-up  Area,Ready To Move,Attibele,2 BHK,Unknown,1200,2.0,2.0,42.0,2.0,1200.0,3500.0,0
Super built-up  Area,18-Mar,Bhoganhalli,4 BHK,Rosha I,1974,4.0,0.0,106.0,4.0,1974.0,5369.807497467072,3
Super built-up  Area,Ready To Move,Chelekare,2 BHK,Goezell,1180,2.0,2.0,40.0,2.0,1180.0,3389.830508474576,3
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,Unknown,1350,2.0,3.0,63.0,3.0,1350.0,4666.666666666667,3
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,DiamiSa,1560,2.0,2.0,65.0,3.0,1560.0,4166.666666666667,3
Plot  Area,Ready To Move,8th Block Jayanagar,2 Bedroom,Unknown,2800,2.0,0.0,650.0,2.0,2800.0,23214.285714285714,2
Super built-up  Area,18-Aug,Hosakerehalli,2 BHK,Maunt M,1085,2.0,1.0,41.23,2.0,1085.0,3799.9999999999995,3
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,J axyGa,1300,2.0,2.0,75.0,3.0,1300.0,5769.2307692307695,3
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Afncyad,1600,3.0,2.0,56.0,3.0,1600.0,3500.0,3
Super built-up  Area,Ready To Move,Atmananda Colony,2 BHK,Unknown,1127,2.0,2.0,55.0,2.0,1127.0,4880.212954747116,3
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,795,2.0,2.0,32.0,2.0,795.0,4025.1572327044023,3
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Unknown,1850,3.0,2.0,88.0,3.0,1850.0,4756.756756756757,3
Built-up  Area,18-Jul,Bommasandra Industrial Area,2 BHK,Unknown,1020,2.0,1.0,29.45,2.0,1020.0,2887.2549019607845,0
Built-up  Area,Ready To Move,Doopanahalli,3 BHK,KroneMo,1475,2.0,1.0,200.0,3.0,1475.0,13559.322033898305,0
Plot  Area,Ready To Move,Baba Nagar,3 Bedroom,Unknown,1200,3.0,3.0,96.25,3.0,1200.0,8020.833333333333,2
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,47.0,3.0,1345.0,3494.4237918215613,3
Super built-up  Area,19-Nov,Kaikondrahalli,2 BHK,Unknown,849,2.0,1.0,25.4,2.0,849.0,2991.7550058892816,3
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1706,3.0,2.0,135.0,3.0,1706.0,7913.24736225088,3
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100,4.0,1.0,180.0,4.0,2100.0,8571.42857142857,3
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,Unknown,1250,2.0,2.0,65.0,3.0,1250.0,5200.0,3
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1260,3.0,3.0,63.58,3.0,1260.0,5046.0317460317465,0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,Unknown,1265,2.0,1.0,65.0,3.0,1265.0,5138.339920948617,3
Super built-up  Area,17-Nov,Abbigere,3 BHK,AdhriPa,1260,2.0,1.0,45.0,3.0,1260.0,3571.4285714285716,3
Super built-up  Area,18-Dec,Jalahalli,2 BHK,Vaniai ,1045,2.0,1.0,58.0,2.0,1045.0,5550.239234449761,3
Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,Unknown,3895,4.0,2.0,495.0,4.0,3895.0,12708.600770218229,3
Super built-up  Area,18-May, Rachenahalli,1 RK,AsNowre,385 - 440,1.0,0.0,19.8,1.0,412.5,4800.0,3
Super built-up  Area,17-Jun,Bellandur,2 BHK,Unknown,1100,2.0,3.0,62.0,2.0,1100.0,5636.363636363636,3
Super built-up  Area,19-Sep,Kudlu Gate,2 BHK,Srods P,1113,2.0,1.0,50.0,2.0,1113.0,4492.36298292902,3
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774,4.0,3.0,208.0,4.0,2774.0,7498.197548666186,3
Built-up  Area,Ready To Move,Varthur,2 BHK,Vaensia,1210,2.0,1.0,60.0,2.0,1210.0,4958.677685950413,0
Super built-up  Area,Ready To Move,Kogilu,1 BHK,Unknown,700,1.0,1.0,30.84,1.0,700.0,4405.714285714285,3
Super built-up  Area,18-May,Kanakpura Road,2 BHK,NellsKo,1155,2.0,1.0,55.5,2.0,1155.0,4805.194805194805,3
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1132,2.0,1.0,89.0,2.0,1132.0,7862.190812720848,3
Super built-up  Area,18-Jan,Hennur Road,2 BHK,Asadacy,1359,2.0,2.0,104.0,2.0,1359.0,7652.685798381162,3
Super built-up  Area,Ready To Move,Byatarayanapura,4 BHK,Reeroce,2631,3.0,2.0,200.0,4.0,2631.0,7601.672367920943,3
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1145,2.0,2.0,56.0,2.0,1145.0,4890.829694323144,3
Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,Shenshi,600,1.0,1.0,30.0,1.0,600.0,5000.0,0
Plot  Area,Ready To Move,Laggere,1 Bedroom,Unknown,1200,1.0,1.0,125.0,1.0,1200.0,10416.666666666666,2
Built-up  Area,Ready To Move,Mahalakshmi Puram,2 BHK,Unknown,830,2.0,1.0,60.0,2.0,830.0,7228.915662650603,0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009,2.0,2.0,56.0,2.0,1009.0,5550.049554013875,3
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Soarkig,1800,3.0,2.0,195.0,3.0,1800.0,10833.333333333334,3
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1226,2.0,2.0,52.71,2.0,1226.0,4299.347471451876,3
Super built-up  Area,Ready To Move,Badrappa Layout,2 BHK,Unknown,1500,2.0,2.0,88.0,2.0,1500.0,5866.666666666667,3
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1363,2.0,1.0,79.0,2.0,1363.0,5796.038151137197,3
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,Unknown,1165,2.0,1.0,33.64,2.0,1165.0,2887.5536480686696,0
Built-up  Area,Ready To Move,HSR Layout,4 Bedroom,Rocid P,2792,4.0,1.0,220.0,4.0,2792.0,7879.656160458453,0
Built-up  Area,Ready To Move,Kammanahalli,1 Bedroom,Unknown,700,1.0,0.0,59.0,1.0,700.0,8428.57142857143,0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,May 2ge,1060,2.0,2.0,42.0,2.0,1060.0,3962.264150943396,3
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Vantsra,1200,2.0,1.0,67.0,2.0,1200.0,5583.333333333333,0
Built-up  Area,18-Dec,"Off Sarjapur Road, ",3 BHK,Unknown,1518,3.0,2.0,76.0,3.0,1518.0,5006.587615283267,0
Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Ablmsol,1495,2.0,2.0,75.0,3.0,1495.0,5016.722408026756,0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Unknown,1575,2.0,2.0,90.0,2.0,1575.0,5714.285714285715,0
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1440,2.0,2.0,170.0,2.0,1440.0,11805.555555555555,0
Super built-up  Area,18-Dec,Kasavanhalli,3 BHK,Goaysn ,1545,3.0,1.0,69.0,3.0,1545.0,4466.019417475728,3
Built-up  Area,Ready To Move,Kengeri,3 BHK,Akdorli,1470,3.0,3.0,50.0,3.0,1470.0,3401.360544217687,0
Super built-up  Area,Ready To Move,Cooke Town,3 BHK,Unknown,1500,3.0,3.0,95.0,3.0,1500.0,6333.333333333333,3
Built-up  Area,Ready To Move,BTM Layout,3 BHK,Myace P,1450,2.0,2.0,81.0,3.0,1450.0,5586.206896551724,0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Unknown,1179,2.0,1.0,49.0,2.0,1179.0,4156.064461407973,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1650,3.0,2.0,110.0,3.0,1650.0,6666.666666666667,3
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Arhid O,1095,2.0,2.0,32.0,3.0,1095.0,2922.3744292237443,3
Built-up  Area,18-Jan,Lal Bahadur Shastri Nagar,2 BHK,Unknown,856,2.0,1.0,48.0,2.0,856.0,5607.476635514019,0
Super built-up  Area,Ready To Move,Naganathapura,2 BHK,Malmsri,1143,2.0,1.0,62.0,2.0,1143.0,5424.321959755031,3
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2.0,1.0,97.8,2.0,1349.0,7249.814677538918,3
Built-up  Area,Ready To Move,Anjanapura,3 BHK,ACopsva,1280,2.0,2.0,45.0,3.0,1280.0,3515.625,0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Unknown,480,1.0,1.0,60.0,1.0,480.0,12500.0,3
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2.0,1.0,69.06,2.0,1216.0,5679.276315789473,3
Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,Unknown,2493,3.0,2.0,115.0,3.0,2493.0,4612.916165262735,3
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,PantsAp,1290,2.0,1.0,120.0,2.0,1290.0,9302.32558139535,3
Plot  Area,Ready To Move,Banjara Layout,5 Bedroom,Unknown,1200,5.0,2.0,96.0,5.0,1200.0,8000.0,2
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Elodsre,1156,2.0,2.0,42.0,2.0,1156.0,3633.2179930795846,3
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1230,2.0,2.0,44.0,2.0,1230.0,3577.2357723577234,3
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1070,2.0,2.0,33.15,2.0,1070.0,3098.1308411214955,3
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1235,2.0,1.0,49.3,2.0,1235.0,3991.902834008097,3
Built-up  Area,Ready To Move,6th block Koramangala,2 BHK,Krone S,1117,2.0,1.0,110.0,2.0,1117.0,9847.806624888093,0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,124.0,3.0,1724.0,7192.5754060324825,3
Plot  Area,Ready To Move,Jalahalli,4 Bedroom,Unknown,1200,4.0,0.0,90.0,4.0,1200.0,7500.0,2
Super built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,Raiyai ,600,1.0,1.0,43.0,1.0,600.0,7166.666666666667,3
Super built-up  Area,Ready To Move,KR Puram,3 BHK,DSise S,1930,2.0,2.0,57.9,3.0,1930.0,3000.0,3
Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2.0,1.0,75.0,2.0,1216.0,6167.763157894737,3
Built-up  Area,Ready To Move,KR Puram,3 BHK,ViionMa,1452,3.0,3.0,60.0,3.0,1452.0,4132.231404958678,0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,2.0,3.0,78.0,2.0,1355.0,5756.457564575646,3
Built-up  Area,Ready To Move,HMT Layout,4 Bedroom,Unknown,7500,4.0,2.0,425.0,4.0,7500.0,5666.666666666667,0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2145,3.0,3.0,190.0,3.0,2145.0,8857.808857808857,3
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Varlsa ,957,2.0,1.0,53.0,2.0,957.0,5538.1400208986415,3
Built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,925,2.0,2.0,48.0,2.0,925.0,5189.189189189189,0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Grntsd ,1550,2.0,3.0,59.0,2.0,1550.0,3806.451612903226,3
Plot  Area,20-Jul,Kanakpura Road,3 Bedroom,Unknown,2100,3.0,2.0,140.0,3.0,2100.0,6666.666666666667,2
Super built-up  Area,21-Dec,Bannerghatta Road,2 BHK,PrarePa,1115,2.0,1.0,61.0,2.0,1115.0,5470.85201793722,3
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1692,3.0,2.0,83.0,3.0,1692.0,4905.437352245863,3
Super built-up  Area,Ready To Move,Baba Nagar,2 BHK,Unknown,1100,2.0,2.0,52.0,2.0,1100.0,4727.272727272727,3
Super built-up  Area,Ready To Move,Hormavu,3 BHK,ARureig,1385,2.0,2.0,69.0,3.0,1385.0,4981.949458483755,3
Super built-up  Area,Ready To Move,Hosa Road,1 BHK,Amelllu,760,1.0,1.0,24.9,1.0,760.0,3276.315789473684,3
Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,Shitt S,1335,2.0,2.0,67.0,2.0,1335.0,5018.7265917603,3
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Kut 3or,910,2.0,1.0,45.0,2.0,910.0,4945.054945054945,3
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,MGBay T,1610,2.0,2.0,55.0,3.0,1610.0,3416.1490683229813,3
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1341,2.0,1.0,75.76,2.0,1341.0,5649.515287099181,3
Plot  Area,Ready To Move,Kurubarahalli,3 Bedroom,Unknown,1200,3.0,0.0,70.0,3.0,1200.0,5833.333333333333,2
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1285,2.0,2.0,44.98,3.0,1285.0,3500.3891050583657,3
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,Unknown,2100,3.0,2.0,252.0,3.0,2100.0,12000.0,3
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1679,3.0,2.0,92.13,3.0,1679.0,5487.194758784991,3
Built-up  Area,Ready To Move,Puttappa Layout,4 Bedroom,Unknown,2675,4.0,2.0,290.0,4.0,2675.0,10841.121495327103,0
Built-up  Area,Ready To Move,"Ananthanagar Phase 1,Electronic City , phase 2",2 BHK,Unknown,1016,2.0,1.0,45.9,2.0,1016.0,4517.716535433071,0
Plot  Area,Ready To Move,Palace Guttahalli,3 Bedroom,Unknown,660,2.0,1.0,100.0,3.0,660.0,15151.515151515152,2
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2448,3.0,2.0,400.0,3.0,2448.0,16339.869281045752,3
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Unknown,924,2.0,2.0,35.11,2.0,924.0,3799.78354978355,3
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,Maian M,500,1.0,1.0,31.0,1.0,500.0,6200.0,3
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,Unknown,1800,3.0,2.0,88.0,3.0,1800.0,4888.888888888889,3
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Vixirri,1255,2.0,3.0,77.0,2.0,1255.0,6135.4581673306775,3
Super built-up  Area,18-Dec,Hennur Road,2 BHK,Inaxyga,1040,2.0,2.0,50.0,2.0,1040.0,4807.692307692308,3
Super built-up  Area,Ready To Move,Kattigenahalli,2 BHK,Vehida ,1062,2.0,2.0,47.0,2.0,1062.0,4425.612052730697,3
Super built-up  Area,19-Dec,Varthur Road,2 BHK,Aseenh ,770 - 841,2.0,0.0,19.33,2.0,805.5,2399.7517070142767,3
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Nimesch,950,2.0,1.0,60.0,2.0,950.0,6315.789473684211,3
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2.0,1.0,73.0,2.0,1216.0,6003.289473684211,3
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,AdadeEs,1300,2.0,2.0,98.0,2.0,1300.0,7538.461538461538,3
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Unknown,1390,2.0,2.0,65.0,2.0,1390.0,4676.258992805755,3
Super built-up  Area,19-Jul,Yelahanka,2 BHK,Goues A,1033,2.0,1.0,52.58,2.0,1033.0,5090.0290416263315,3
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1390,2.0,2.0,65.31,2.0,1390.0,4698.561151079137,3
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Unknown,1020,2.0,1.0,52.0,2.0,1020.0,5098.0392156862745,3
Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,34.735,1.0,709.0,4899.153737658674,3
Super built-up  Area,18-Oct,Whitefield,2 BHK,ARipsul,1140,2.0,2.0,45.0,2.0,1140.0,3947.3684210526317,3
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,670,1.0,1.0,36.85,1.0,670.0,5500.0,3
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2171,4.0,2.0,111.0,4.0,2171.0,5112.851220635652,3
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Gundaa ,1136,2.0,1.0,48.0,2.0,1136.0,4225.352112676056,3
Built-up  Area,Ready To Move,Doddakannelli,3 BHK,Sueesti,1477,2.0,2.0,80.0,3.0,1477.0,5416.384563303995,0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Unknown,1001,2.0,2.0,30.0,2.0,1001.0,2997.002997002997,3
